"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"137","13.184149","1.9.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"141","13.984157","1.9.1","host","USB","72","0000150000000000","URB_INTERRUPT in"
"143","14.096171","1.9.1","host","USB","72","0000081500000000","URB_INTERRUPT in"
"145","14.112172","1.9.1","host","USB","72","0000080000000000","URB_INTERRUPT in"
"149","14.224131","1.9.1","host","USB","72","0000100000000000","URB_INTERRUPT in"
"153","14.976203","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"155","15.472207","1.9.1","host","USB","72","0200300000000000","URB_INTERRUPT in"
"157","15.536206","1.9.1","host","USB","72","0200000000000000","URB_INTERRUPT in"
"161","17.456166","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"165","17.728214","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"169","18.000229","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"173","18.240207","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"177","18.832193","1.9.1","host","USB","72","00002a0000000000","URB_INTERRUPT in"
"181","19.344225","1.9.1","host","USB","72","0000270000000000","URB_INTERRUPT in"
"185","19.616197","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"189","19.840306","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"193","20.064231","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"197","20.272232","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"201","20.480195","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"205","20.704204","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"209","20.912321","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"213","21.152228","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"217","21.520245","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"221","21.872241","1.9.1","host","USB","72","00002a0000000000","URB_INTERRUPT in"
"225","22.048259","1.9.1","host","USB","72","0000270000000000","URB_INTERRUPT in"
"229","22.416261","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"233","22.608254","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"237","22.800356","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"241","23.008274","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"245","23.232345","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"249","23.760276","1.9.1","host","USB","72","00002a0000000000","URB_INTERRUPT in"
"253","24.128282","1.9.1","host","USB","72","00001e0000000000","URB_INTERRUPT in"
"257","24.400357","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"261","24.624242","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"265","25.056290","1.9.1","host","USB","72","00002a0000000000","URB_INTERRUPT in"
"269","25.248295","1.9.1","host","USB","72","00001e0000000000","URB_INTERRUPT in"
"273","25.584292","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"277","25.792300","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"281","26.000293","1.9.1","host","USB","72","0000500000000000","URB_INTERRUPT in"
"285","26.384312","1.9.1","host","USB","72","00002a0000000000","URB_INTERRUPT in"
"289","26.864311","1.9.1","host","USB","72","00001e0000000000","URB_INTERRUPT in"
